x,y,z
80.16135680695778,260.6850983896621,0
139.354741688078,274.69016573302633,0
58.865835527642375,268.4569182787425,0
148.66171889075127,238.17790482279378,0
139.115202561269,216.52600897025116,0
173.9782895058215,234.8699996850862,0
138.59634940606185,187.11872498155225,0
217.10444823973123,223.96429394007623,0
167.96094669591363,225.6990589725761,0
149.56248605289858,218.15243083486615,0
136.6709397876529,202.2338308301858,0
167.4230543412072,166.6681232986286,0
191.66107669071974,211.62936887422393,0
190.73877594702964,196.99095070733927,0
230.05483495872642,204.54508012542874,0
149.20782721458698,214.6337700591593,0
163.57944868293842,185.78356234971523,0
148.21878670615627,159.45363667785443,0
222.54264372273585,208.2827039629584,0
168.71299651538706,327.8338223694042,0
149.8889093631362,348.0967087468926,0
130.1747851169372,285.62624510605207,0
180.14052993617253,289.92696187139916,0
189.98756877753598,245.51941371162,0
207.61014229023203,224.89045472784,0
260.9289851531543,208.53216174183797,0
273.69648189655044,171.4902573846897,0
261.87823823780644,163.6127570830114,0
259.90600877746357,148.45789672917317,0
249.0976667913489,75.65152426170272,0
280.30812660461277,8.207482433901419,0
239.26909267854182,106.84951074754468,0
288.475102195645,57.6867769326048,0
244.07104100409802,89.76823052927978,0
240.44388714275942,44.35395168665957,0
275.43231114039617,118.20077827548607,0
258.2815368823738,132.8435442407075,0
179.81209525529698,189.71524577984735,0
166.16898881922683,255.33625731208065,0
128.67110650822326,264.73047295517085,0
139.84157148219762,331.93674067963923,0
129.82737927074007,280.74120990560084,0
122.65893699439168,329.9169019357836,0
127.81885989954127,274.4066281220579,0
66.67629907673063,315.2980173707137,0
98.67161949270637,319.23071721091264,0
97.0212580658823,359.43622203409154,0
47.99808654774719,373.3942647414853,0
163.69382545559225,299.21063174840094,0
122.63661502850252,349.99308336836816,0
40.067757510009784,312.4174041514582,0
88.29641443362138,327.14306911024147,0
121.17593343625194,335.5944334047305,0
84.09020161544683,299.5389168189847,0
133.50848172345835,256.4077115632939,0
79.72838143951688,231.03855498549382,0
122.38196959435459,184.05860280718764,0
152.47232934647997,151.02099569074142,0
134.68401614212829,155.2788242762191,0
121.62418361748693,162.0140170116805,0
150.5451226209157,126.53015306578794,0
120.81162031006704,136.7238790092698,0
152.167685943137,162.01965014347405,0
100.19854342087092,165.60521838253953,0
129.03588668808774,100.5877546268041,0
94.10498007365491,92.5137092294392,0
176.94206676624168,69.15217603579742,0
110.79232625833677,92.40888901787429,0
73.77186840899684,297.4852676444564,0
160.87879099799358,294.3447894378045,0
120.02872806153852,265.09857134106755,0
124.21556746616308,294.133697604169,0
117.20412841202197,287.3621443118169,0
170.8721772692698,235.8806965146145,0
150.1498962885998,206.03983810866282,0
227.10009699042348,199.0670029378914,0
228.03644247773173,200.38287700675284,0
212.30322952655848,75.25565752962996,0
168.1541004847216,112.24199196389924,0
215.4811129958087,103.83778243846933,0
222.24557902872806,129.92272914362104,0
215.75375153584338,114.1690726204194,0
139.26719547162014,272.13224244424384,0
183.89170254640868,218.53070865543657,0
163.98642177835248,192.69838872974077,0
196.27623427354627,190.09511089325326,0
192.3760638764802,264.4487164200797,0
200.8471840769822,185.7489978900548,0
208.81784179820065,163.45931957151794,0
203.0129826033813,130.4955013551364,0
217.9160809541933,82.33700575850753,0
208.87893992749477,150.63539762790998,0
259.1578835756968,100.54102020918344,0
273.3718017613437,111.55479026702795,0
209.91138211028152,56.50048376431056,0
89.14367820252025,209.67064838945618,0
83.13598863858532,232.58594218622318,0
108.51956216907261,199.08339131115093,0
143.0799640007759,220.34960934137695,0
148.51622502568677,175.39102834066404,0
147.5681917219053,115.18249401761364,0
209.83644726902386,124.03826041998394,0
220.2149555446129,95.71407444279691,0
213.48819803276575,140.1119907214515,0
231.03248083806628,146.27104617884243,0
185.85998351277522,124.95184624582555,0
170.9842461096709,278.2238362367299,0
183.16375498248297,239.81391924724932,0
190.70274638501058,291.8925130968974,0
148.9972516142417,218.08577890616732,0
208.47183661004817,235.34755941774,0
202.15393020874185,211.78577413394356,0
223.36067479357493,176.8238095281692,0
273.2970558462829,141.69033818918126,0
275.24917146159913,64.13688051216343,0
268.6225005659671,132.50918923773696,0
285.2002695230077,96.61388843143834,0
286.7513791361691,105.24921151930204,0
238.34822068106877,128.1504510194435,0
132.23437637031893,297.7398354115769,0
109.12473234286401,258.33222621431037,0
198.69436382661564,196.39117677752853,0
261.56675592894993,113.7910727826079,0
268.28846097366574,168.37538382770464,0
260.9257671735641,144.2021185022349,0
267.4680868782358,113.45508520236882,0
246.55352116116796,117.69648501592303,0
291.86388289070163,67.35425095960926,0
282.93954152917956,45.68483783546719,0
290.76541850570663,102.90299402533378,0
